# lat lon Nways
25.2 -72.8 0
25.2 -72.6 0
25.2 -72.4 0
25.2 -72.2 0
25.2 -72 0
25.2 -71.8 0
25.2 -71.6 0
25.2 -71.4 0
25.2 -71.2 0
25.2 -71 0
25.2 -70.8 0
25.2 -70.6 0
25.2 -70.4 0
25.2 -70.2 0
25.2 -70 0
25.2 -69.8 0
25.2 -69.6 0
25.2 -69.4 0
25.2 -69.2 0
25.2 -69 0
25.2 -68.8 0
25.2 -68.6 0
25.2 -68.4 0
25.2 -68.2 0
25.2 -68 0
25.2 -67.8 0
25.2 -67.6 0
25.2 -67.4 0
25.2 -67.2 0
25.2 -67 0
25.2 -66.8 0
25.2 -66.6 0
25.2 -66.4 0
25.2 -66.2 0
25.4 -125 0
25.4 -124.8 0
25.4 -124.6 0
25.4 -124.4 0
25.4 -124.2 0
25.4 -124 0
25.4 -123.8 0
25.4 -123.6 0
25.4 -123.4 0
25.4 -123.2 0
25.4 -123 0
25.4 -122.8 0
25.4 -122.6 0
25.4 -122.4 0
25.4 -122.2 0
25.4 -122 0
25.4 -121.8 0
25.4 -121.6 0
25.4 -121.4 0
25.4 -121.2 0
25.4 -121 0
25.4 -120.8 0
25.4 -120.6 0
25.4 -120.4 0
25.4 -120.2 0
25.4 -120 0
25.4 -119.8 0
25.4 -119.6 0
25.4 -119.4 0
25.4 -119.2 0
25.4 -119 0
25.4 -118.8 0
25.4 -118.6 0
25.4 -118.4 0
25.4 -118.2 0
25.4 -118 0
25.4 -117.8 0
25.4 -117.6 0
25.4 -117.4 0
25.4 -117.2 0
25.4 -117 0
25.4 -116.8 0
25.4 -116.6 0
25.4 -116.4 0
25.4 -116.2 0
25.4 -116 0
25.4 -115.8 0
25.4 -115.6 0
25.4 -115.4 0
25.4 -115.2 0
25.4 -115 0
25.4 -114.8 0
25.4 -114.6 0
25.4 -114.4 0
25.4 -114.2 0
25.4 -114 0
25.4 -113.8 0
25.4 -113.6 0
25.4 -113.4 0
25.4 -113.2 0
25.4 -113 0
25.4 -112.8 0
25.4 -112.6 0
25.4 -112.4 0
25.4 -112.2 0
25.4 -112 29
25.4 -111.8 44
25.4 -111.6 4
25.4 -111.4 1
25.4 -111.2 0
25.4 -111 0
25.4 -110.8 0
25.4 -110.6 0
25.4 -110.4 0
25.4 -110.2 0
25.4 -110 0
25.4 -109.8 0
25.4 -109.6 0
25.4 -109.4 0
25.4 -109.2 0
25.4 -109 0
25.4 -108.8 0
25.4 -108.6 221
25.4 -108.4 327
25.4 -108.2 1094
25.4 -108 1775
25.4 -107.8 207
25.4 -107.6 249
25.4 -107.4 27
25.4 -107.2 5
25.4 -107 33
25.4 -106.8 3
25.4 -106.6 4
25.4 -106.4 7
25.4 -106.2 16
25.4 -106 12
25.4 -105.8 143
25.4 -105.6 38
25.4 -105.4 34
25.4 -105.2 42
25.4 -105 32
25.4 -104.8 20
25.4 -104.6 64
25.4 -104.4 5
25.4 -104.2 67
25.4 -104 3
25.4 -103.8 68
25.4 -103.6 282
25.4 -103.4 776
25.4 -103.2 141
25.4 -103 27
25.4 -102.8 40
25.4 -102.6 0
25.4 -102.4 0
25.4 -102.2 784
25.4 -102 84
25.4 -101.8 94
25.4 -101.6 71
25.4 -101.4 191
25.4 -101.2 38
25.4 -101 10751
25.4 -100.8 781
25.4 -100.6 77
25.4 -100.4 42
25.4 -100.2 1210
25.4 -100 667
25.4 -99.8 27
25.4 -99.6 25
