# lat lon Nways
25.4 -80.6 5910
25.4 -80.2 4027
25.4 -79.8 0
25.4 -79.4 0
25.4 -79 0
25.4 -78.6 0
25.4 -78.2 0
25.4 -77.8 0
25.4 -77.4 0
25.4 -77 0
25.4 -76.6 0
25.4 -76.2 0
25.4 -75.8 0
25.4 -75.4 0
25.4 -75 0
25.4 -74.6 0
25.4 -74.2 0
25.4 -73.8 0
25.4 -73.4 0
25.4 -73 0
25.4 -72.6 0
25.4 -72.2 0
25.4 -71.8 0
25.4 -71.4 0
25.4 -71 0
25.4 -70.6 0
25.4 -70.2 0
25.4 -69.8 0
25.4 -69.4 0
25.4 -69 0
25.4 -68.6 0
25.4 -68.2 0
25.4 -67.8 0
25.4 -67.4 0
25.4 -67 0
25.4 -66.6 0
25.4 -66.2 0
25.8 -125 0
25.8 -124.6 0
25.8 -124.2 0
25.8 -123.8 0
25.8 -123.4 0
25.8 -123 0
25.8 -122.6 0
25.8 -122.2 0
25.8 -121.8 0
25.8 -121.4 0
25.8 -121 0
25.8 -120.6 0
25.8 -120.2 0
25.8 -119.8 0
25.8 -119.4 0
25.8 -119 0
25.8 -118.6 0
25.8 -118.2 0
25.8 -117.8 0
25.8 -117.4 0
25.8 -117 0
25.8 -116.6 0
25.8 -116.2 0
25.8 -115.8 0
25.8 -115.4 0
25.8 -115 0
25.8 -114.6 0
25.8 -114.2 0
25.8 -113.8 0
25.8 -113.4 0
25.8 -113 0
25.8 -112.6 0
25.8 -112.2 10
25.8 -111.8 4
25.8 -111.4 160
25.8 -111 0
25.8 -110.6 0
25.8 -110.2 0
25.8 -109.8 0
25.8 -109.4 505
25.8 -109 5604
25.8 -108.6 1088
25.8 -108.2 1187
25.8 -107.8 151
25.8 -107.4 108
25.8 -107 36
25.8 -106.6 29
25.8 -106.2 58
25.8 -105.8 92
25.8 -105.4 212
25.8 -105 50
25.8 -104.6 111
25.8 -104.2 24
25.8 -103.8 359
25.8 -103.4 4040
25.8 -103 1738
25.8 -102.6 90
25.8 -102.2 178
25.8 -101.8 72
25.8 -101.4 71
25.8 -101 207
25.8 -100.6 10174
25.8 -100.2 47889
25.8 -99.8 524
25.8 -99.4 362
25.8 -99 221
25.8 -98.6 41
25.8 -98.2 1661
25.8 -97.8 996
25.8 -97.4 9912
25.8 -97 73
25.8 -96.6 0
25.8 -96.2 0
25.8 -95.8 0
25.8 -95.4 0
25.8 -95 0
25.8 -94.6 0
25.8 -94.2 0
25.8 -93.8 0
25.8 -93.4 0
25.8 -93 0
25.8 -92.6 0
25.8 -92.2 0
